,Dummy Regressor,Linear Regression,Gradient Boosting Regressor,Random Forest Regressor,Lasso(95),Ridge,ElasticNet(ratio=.95)
r^2 score,-0.007095058036154178,-1.1409362587335004e+21,0.9093474205228738,0.8992665999643247,0.9187148761264011,0.9173355051890425,0.9173355051890425
mean^2 error,7382.814709905456,8.363978084122215e+24,664.5561329232287,738.456634880514,595.885168377968,605.997063938855,605.997063938855
root mean^2 error,85.92330714017854,2892054301724.3325,25.778986266399784,27.17455859587261,24.410759274917442,24.61700761544455,24.61700761544455
mean absolute error,66.4789113343948,111485629094.4565,17.445089683210895,18.295924727269853,16.791458983197035,16.968056843902772,16.968056843902772
explained variance,0.0,-1.1392408037096831e+21,0.9093474265259931,0.8995076151775537,0.9187692832473385,0.9173585644671329,0.9173585644671329
